window_id,start,end,winner_annual_return,model_annual_return,equal_weight_annual_return,spy_annual_return,quant_composite_annual_return,model_excess_vs_quant,model_sharpe,equal_weight_sharpe,spy_sharpe,quant_composite_sharpe
1,2011-04-07,2013-04-10,equal_weight,0.12261127878253131,0.15247623687432243,0.11311541373663814,0.0943340895555187,0.02827718922701261,0.6252153445094412,0.8415601301360841,0.674966195219802,0.5233524861832379
2,2011-07-29,2013-07-31,equal_weight,0.19763692894125806,0.23766294352329864,0.16304649070854627,0.15944853384501823,0.038188395096239836,0.9153141361413099,1.2183067088231185,0.9172706103847696,0.7980389329980432
3,2013-12-06,2015-12-07,equal_weight,-0.007217007736289971,0.14294424507951775,0.10044328662802005,0.10244721533624968,-0.10966422307253965,0.04040394726304119,1.042967295270054,0.7891976372908002,0.7193837328629082
4,2014-08-11,2016-08-09,equal_weight,0.00015627278265428757,0.14279332086786756,0.08453972564774026,0.09184292848422104,-0.09168665570156675,0.0935623616191818,0.9532845505131572,0.626617894488405,0.610749033283951
5,2016-03-22,2018-03-21,equal_weight,0.16053697227431218,0.24473702814972786,0.1723194576405087,0.23778854561296892,-0.07725157333865673,1.2005854348618716,2.085934978735256,1.6126011035784085,1.7601492016635727
6,2017-01-20,2019-01-22,model,0.1673145510048486,0.16417802779732793,0.0994148240454431,0.10653171487784352,0.06078283612700508,1.1133871848458277,1.170298781485811,0.7766628194037023,0.7129265126030406
7,2017-07-26,2019-07-26,model,0.23782403366458116,0.184612538080819,0.12608015190973854,0.11525935112752306,0.1225646825370581,1.49313742681669,1.2424934810910657,0.920383327800761,0.7359636706085874
8,2018-07-05,2020-07-06,model,0.23231875689275205,0.14126476844719904,0.10332776902707819,0.0863489190269664,0.14596983786578566,0.9240518623562399,0.6189542811592422,0.514864401783287,0.43789377167917704
9,2018-08-24,2020-08-25,model,0.24772567129467715,0.16686814750884604,0.11911982417371547,0.11345046326630981,0.13427520802836734,0.9686058790735544,0.6985437622203309,0.5696936365829389,0.524805820291384
10,2019-06-25,2021-06-23,model,0.3159787149880109,0.30144321040425526,0.22056158164171258,0.3105908994993247,0.005387815488686165,1.1425081058102813,1.1054907453641842,0.9148842376106251,1.1041054293440797
11,2021-12-02,2023-12-04,equal_weight,-0.026211116068379225,0.03792268211670424,0.022389520759819703,-0.020194980874862822,-0.006016135193516403,-0.012145779873821951,0.2899516143671102,0.2109976948722391,0.03759714373931776
12,2023-07-28,2025-07-31,spy,0.11391705865129942,0.16008808009864484,0.1975280626630247,0.15589995827526648,-0.04198289962396706,0.7410022433520782,1.0906820939391886,1.1795206460935526,0.8279560915316834
